pickup_hour,pickup_dayofweek,day_name,trip_count,avg_fare,avg_total,avg_rev_per_mile,hour_rank
0,1,Sun,26797,17.19,24.65,11.82,17
1,1,Sun,23760,16.59,24.16,9.6,20
2,1,Sun,18851,16.58,24.08,8.83,21
3,1,Sun,12543,16.98,24.21,11.65,19
4,1,Sun,6896,19.48,26.21,15.87,14
5,1,Sun,2801,27.03,32.07,16.63,3
6,1,Sun,3689,29.02,32.69,17.1,2
7,1,Sun,5449,25.74,29.91,11.93,5
8,1,Sun,7690,20.85,26.42,12.24,12
9,1,Sun,12211,18.17,23.94,7.76,23
10,1,Sun,18218,18.04,24.06,10.51,22
11,1,Sun,21722,16.92,23.07,9.57,24
12,1,Sun,25181,18.29,24.43,11.66,18
13,1,Sun,26105,19.08,25.24,11.82,16
14,1,Sun,27668,20.43,26.47,12.93,11
15,1,Sun,26919,20.76,26.79,11.28,10
16,1,Sun,27581,21.01,26.87,10.29,9
17,1,Sun,26068,21.01,27.05,10.15,8
18,1,Sun,24431,18.98,25.25,11.28,15
19,1,Sun,21272,20.08,26.29,10.77,13
20,1,Sun,18594,20.31,27.17,13.03,7
21,1,Sun,17670,21.77,29.01,11.36,6
22,1,Sun,15217,24.03,30.9,11.6,4
23,1,Sun,11614,25.79,32.76,10.29,1
0,2,Mon,6973,25.06,31.79,10.74,3
1,2,Mon,3590,23.2,29.09,9.69,6
2,2,Mon,1961,18.18,24.63,9.11,21
3,2,Mon,1479,22.44,28.26,11.98,8
4,2,Mon,1477,25.9,32.12,13.76,1
5,2,Mon,2555,26.6,32.01,10.78,2
6,2,Mon,6930,23.97,28.37,9.27,7
7,2,Mon,12968,20.08,25.66,10.3,15
8,2,Mon,17514,18.1,24.34,8.84,22
9,2,Mon,19143,18.47,24.84,11.58,18
10,2,Mon,20392,18.37,24.69,11.48,20
11,2,Mon,21590,17.84,24.05,9.64,24
12,2,Mon,23804,17.98,24.13,9.75,23
13,2,Mon,25040,18.81,24.79,10.09,19
14,2,Mon,27180,20.24,26.1,11.64,14
15,2,Mon,28303,19.57,25.48,12.4,16
16,2,Mon,27343,19.8,27.07,12.88,10
17,2,Mon,29611,19.38,26.92,9.52,11
18,2,Mon,28455,17.43,25.42,9.86,17
19,2,Mon,24459,18.51,26.48,10.45,12
20,2,Mon,21348,19.28,26.42,9.39,13
21,2,Mon,19493,19.99,27.44,11.39,9
22,2,Mon,15805,22.2,29.16,8.51,5
23,2,Mon,10104,24.75,31.74,9.03,4
0,3,Tue,5800,26.39,33.25,14.61,2
1,3,Tue,2705,25.77,31.73,15.1,3
2,3,Tue,1474,22.1,27.88,14.98,7
3,3,Tue,996,25.19,30.49,23.97,4
4,3,Tue,1180,28.18,33.8,17.0,1
5,3,Tue,2987,25.02,30.42,15.07,5
6,3,Tue,9037,20.38,25.35,9.73,14
7,3,Tue,18889,17.19,23.18,9.39,24
8,3,Tue,24960,17.08,23.49,11.51,23
9,3,Tue,25573,17.84,24.43,10.89,21
10,3,Tue,25576,18.2,24.62,11.31,19
11,3,Tue,26003,18.0,24.47,11.57,20
12,3,Tue,27067,17.98,24.24,12.21,22
13,3,Tue,27799,18.79,24.94,11.39,18
14,3,Tue,30150,19.91,25.94,11.1,12
15,3,Tue,31483,19.2,25.23,12.4,15
16,3,Tue,31079,19.32,27.62,11.29,8
17,3,Tue,34215,17.99,26.59,9.73,9
18,3,Tue,35885,16.37,25.45,9.74,13
19,3,Tue,31081,17.03,25.95,9.91,11
20,3,Tue,27378,17.4,24.96,9.0,17
21,3,Tue,27074,17.63,25.22,8.84,16
22,3,Tue,21612,18.94,26.4,9.71,10
23,3,Tue,13319,21.82,29.13,10.55,6
0,4,Wed,5738,24.22,30.83,8.29,3
1,4,Wed,2554,20.88,27.29,8.63,6
2,4,Wed,1336,20.1,26.26,9.08,9
3,4,Wed,936,22.25,28.17,10.68,5
4,4,Wed,1006,29.55,35.01,8.76,1
5,4,Wed,2393,26.02,31.68,12.46,2
6,4,Wed,6893,19.64,25.0,8.09,15
7,4,Wed,14601,18.13,24.01,9.01,20
8,4,Wed,19629,17.08,23.46,10.31,24
9,4,Wed,19989,17.37,23.88,12.26,22
10,4,Wed,20031,17.82,24.29,10.06,17
11,4,Wed,20405,17.25,23.67,11.2,23
12,4,Wed,22253,17.58,23.93,10.43,21
13,4,Wed,24031,17.95,24.13,11.73,19
14,4,Wed,25411,18.93,25.01,10.97,14
15,4,Wed,26069,18.2,24.27,10.86,18
16,4,Wed,26760,18.74,27.05,11.58,7
17,4,Wed,29115,17.87,26.6,12.13,8
18,4,Wed,32559,16.01,25.13,11.1,13
19,4,Wed,28817,16.72,25.7,9.72,11
20,4,Wed,24058,17.09,24.61,8.33,16
21,4,Wed,23332,17.61,25.19,8.9,12
22,4,Wed,19810,18.54,26.17,7.78,10
23,4,Wed,12532,21.03,28.23,11.21,4
0,5,Thu,7105,22.88,29.92,9.12,3
1,5,Thu,3419,21.76,28.37,11.58,4
2,5,Thu,1982,20.4,25.98,14.29,12
3,5,Thu,1243,21.35,27.0,7.86,7
4,5,Thu,1218,27.93,33.48,12.17,1
