zone_id,time_of_day,trip_count,avg_revenue,zone_rank
237,Afternoon,55345,19.21,1
236,Afternoon,53373,20.04,2
161,Afternoon,48133,22.34,3
132,Afternoon,44563,59.71,4
162,Afternoon,31053,22.7,5
239,Afternoon,30717,20.12,6
142,Afternoon,30071,19.93,7
138,Afternoon,29667,60.06,8
186,Afternoon,29053,23.32,9
163,Afternoon,29011,22.1,10
161,Evening,42673,22.66,1
132,Evening,39551,58.65,2
237,Evening,38562,20.36,3
236,Evening,33645,21.05,4
162,Evening,33094,22.62,5
230,Evening,27616,22.76,6
142,Evening,26925,20.92,7
186,Evening,25593,24.45,8
163,Evening,24904,21.79,9
170,Evening,24399,22.63,10
236,Morning,40212,19.88,1
237,Morning,34950,18.19,2
186,Morning,33203,20.41,3
132,Morning,28965,56.73,4
162,Morning,24564,21.11,5
161,Morning,21843,22.83,6
239,Morning,21709,21.29,7
141,Morning,21186,19.27,8
170,Morning,21083,20.8,9
140,Morning,20605,21.58,10
132,Night,43302,56.51,1
79,Night,40319,23.34,2
249,Night,31661,23.69,3
48,Night,28814,23.31,4
230,Night,27229,23.68,5
142,Night,22161,22.48,6
161,Night,21548,22.68,7
114,Night,20982,23.37,8
186,Night,20448,23.24,9
148,Night,20214,24.77,10
