pickup_date,avg_distance,avg_duration,avg_fare,avg_rev_per_mile,trip_count,prev_day_avg_fare,fare_change
2022-10-25,1.8,4.6,48.17,1024.4,6,,
2022-12-31,3.31,12.21,16.63,7.55,25,48.17,-31.54
2023-01-01,5.26,15.19,21.99,12.48,74989,16.63,5.36
2023-01-02,4.63,14.6,22.18,10.77,64467,21.99,0.19
2023-01-03,4.13,15.21,20.18,12.37,84294,22.18,-2.0
2023-01-04,3.59,14.95,19.13,9.58,93581,20.18,-1.05
2023-01-05,3.59,14.66,18.49,9.87,99418,19.13,-0.64
2023-01-06,3.38,14.47,17.95,10.7,101010,18.49,-0.54
2023-01-07,5.54,13.48,17.7,10.18,103382,17.95,-0.25
2023-01-08,4.01,13.51,19.89,11.96,83639,17.7,2.19
2023-01-09,3.81,14.39,18.98,10.66,83918,19.89,-0.91
2023-01-10,3.21,14.27,17.76,10.23,98474,18.98,-1.22
2023-01-11,3.15,14.14,17.53,10.35,104500,17.76,-0.23
2023-01-12,4.31,15.54,18.6,10.68,109638,17.53,1.07
2023-01-13,4.66,15.24,18.85,11.44,108850,18.6,0.25
2023-01-14,3.37,14.08,17.95,10.38,111113,18.85,-0.9
2023-01-15,5.59,13.51,18.77,10.77,95281,17.95,0.82
2023-01-16,4.03,13.86,19.99,10.94,78718,18.77,1.22
2023-01-17,3.6,15.05,18.9,11.0,99382,19.99,-1.09
2023-01-18,3.53,14.97,18.21,11.31,104657,18.9,-0.69
2023-01-19,3.16,15.83,18.1,11.16,113046,18.21,-0.11
2023-01-20,3.47,14.95,18.07,11.13,107899,18.1,-0.03
2023-01-21,3.12,13.46,17.14,10.51,110504,18.07,-0.93
2023-01-22,4.25,13.65,19.07,10.35,88343,17.14,1.93
2023-01-23,6.67,14.21,18.35,10.63,88260,19.07,-0.72
2023-01-24,3.18,14.47,17.63,10.05,102316,18.35,-0.72
2023-01-25,3.14,14.6,17.22,10.38,107510,17.63,-0.41
2023-01-26,3.31,15.18,18.2,10.81,113089,17.22,0.98
2023-01-27,3.41,14.81,17.92,10.39,110006,18.2,-0.28
2023-01-28,3.18,14.08,17.19,10.21,110010,17.92,-0.73
2023-01-29,3.78,13.64,19.13,10.49,86695,17.19,1.94
2023-01-30,3.59,14.59,18.78,9.65,82154,19.13,-0.35
2023-01-31,4.88,15.41,18.02,10.42,98850,18.78,-0.76
2023-02-01,4.57,14.68,22.02,5.66,10,18.02,4.0
