pickup_date,trip_count,avg_fare,daily_revenue,running_total_revenue,moving_avg_7d,pct_of_monthly_revenue
2022-10-25,6,48.17,242.27,242.27,48.17,0.0
2022-12-31,25,16.63,604.22,846.49,32.4,0.0
2023-01-01,74989,21.99,2113564.73,2114411.22,28.93,2.75
2023-01-02,64467,22.18,1806194.52,3920605.74,27.24,2.35
2023-01-03,84294,20.18,2261370.39,6181976.13,25.83,2.95
2023-01-04,93581,19.13,2439109.28,8621085.41,24.71,3.18
2023-01-05,99418,18.49,2534818.87,11155904.28,23.82,3.3
2023-01-06,101010,17.95,2524170.42,13680074.7,19.51,3.29
2023-01-07,103382,17.7,2487828.27,16167902.97,19.66,3.24
2023-01-08,83639,19.89,2190504.4,18358407.37,19.36,2.85
2023-01-09,83918,18.98,2169822.56,20528229.93,18.9,2.83
2023-01-10,98474,17.76,2457003.12,22985233.05,18.56,3.2
2023-01-11,104500,17.53,2589413.9,25574646.95,18.33,3.37
2023-01-12,109638,18.6,2837768.34,28412415.29,18.34,3.7
2023-01-13,108850,18.85,2844267.91,31256683.2,18.47,3.7
2023-01-14,111113,17.95,2723023.95,33979707.15,18.51,3.55
2023-01-15,95281,18.77,2407598.52,36387305.67,18.35,3.14
2023-01-16,78718,19.99,2078950.21,38466255.88,18.49,2.71
2023-01-17,99382,18.9,2588234.37,41054490.25,18.66,3.37
2023-01-18,104657,18.21,2666404.95,43720895.2,18.75,3.47
2023-01-19,113046,18.1,2871638.16,46592533.36,18.68,3.74
2023-01-20,107899,18.07,2726163.06,49318696.42,18.57,3.55
2023-01-21,110504,17.14,2612737.66,51931434.08,18.45,3.4
2023-01-22,88343,19.07,2259600.74,54191034.82,18.5,2.94
2023-01-23,88260,18.35,2232938.33,56423973.15,18.26,2.91
2023-01-24,102316,17.63,2554807.74,58978780.89,18.08,3.33
2023-01-25,107510,17.22,2643944.0,61622724.89,17.94,3.44
2023-01-26,113089,18.2,2898848.69,64521573.58,17.95,3.78
2023-01-27,110006,17.92,2779514.28,67301087.86,17.93,3.62
2023-01-28,110010,17.19,2617930.43,69919018.29,17.94,3.41
2023-01-29,86695,19.13,2228419.51,72147437.8,17.95,2.9
2023-01-30,82154,18.78,2125801.81,74273239.61,18.01,2.77
2023-01-31,98850,18.02,2501235.45,76774475.06,18.07,3.26
2023-02-01,10,22.02,283.44,76774758.5,18.75,0.0
